Time (Sec),Analog Input 0,Analog Input 1, Analog Input 4
0.0,3.15,3.13,1.42
0.01,3.1,3.18,1.53
0.02,3.19,3.19,1.45
0.03,3.1,3.13,1.46
0.04,3.16,3.2,1.52
0.05,3.15,3.14,1.42
0.06,3.11,3.18,1.53
0.07,3.2,3.2,1.45
0.08,3.1,3.13,1.46
0.09,3.16,3.21,1.51
0.1,3.15,3.13,1.42
0.11,3.11,3.17,1.53
0.12,3.2,3.2,1.44
0.13,3.1,3.12,1.46
0.14,3.16,3.21,1.51
0.15,3.15,3.13,1.41
0.16,3.11,3.17,1.52
0.17,3.2,3.19,1.44
0.18,3.1,3.11,1.45
0.19,3.16,3.2,1.5
0.2,3.15,3.06,1.39
0.21,3.11,3.1,1.49
0.22,3.19,3.12,1.42
0.23,3.09,3.05,1.43
0.24,3.14,3.12,1.48
0.25,3.11,3.04,1.39
0.26,3.05,3.08,1.5
0.27,3.12,3.1,1.42
0.28,3.01,3.04,1.45
0.29,3.04,3.1,1.49
0.3,2.99,3.04,1.4
0.31,2.93,3.07,1.51
0.32,2.97,3.09,1.43
0.33,2.86,3.03,1.45
0.34,2.87,3.1,1.5
0.35,2.83,3.02,1.41
0.36,2.77,3.07,1.52
0.37,2.82,3.09,1.44
0.38,2.71,3.03,1.46
0.39,2.73,3.1,1.5
0.4,2.41,3.07,1.45
0.41,2.39,3.12,1.57
0.42,2.45,3.14,1.48
0.43,2.38,3.07,1.5
0.44,2.41,3.15,1.54
0.45,2.41,3.07,1.45
0.46,2.38,3.13,1.57
0.47,2.44,3.14,1.48
0.48,2.37,3.08,1.5
0.49,2.4,3.16,1.55
0.5,2.39,3.08,1.45
0.51,2.36,3.13,1.57
0.52,2.42,3.15,1.48
0.53,2.35,3.09,1.5
0.54,2.36,3.16,1.55
0.55,2.35,3.09,1.45
0.56,2.31,3.13,1.57
0.57,2.36,3.15,1.48
0.58,2.29,3.08,1.5
0.59,2.31,3.16,1.55
0.6,2.28,3.08,1.45
0.61,2.26,3.14,1.57
0.62,2.31,3.14,1.48
0.63,2.25,3.09,1.5
0.64,2.28,3.16,1.54
0.65,2.27,3.09,1.45
0.66,2.24,3.13,1.56
0.67,2.29,3.14,1.48
0.68,2.24,3.09,1.5
0.69,2.27,3.16,1.54
0.7,2.27,3.09,1.45
0.71,2.25,3.13,1.56
0.72,2.3,3.15,1.48
0.73,2.25,3.08,1.5
0.74,2.28,3.16,1.54
0.75,2.28,3.08,1.45
0.76,2.25,3.13,1.56
0.77,2.31,3.15,1.47
0.78,2.25,3.09,1.5
0.79,2.29,3.16,1.54
0.8,1.3,3.07,1.46
0.81,1.29,3.11,1.57
0.82,1.31,3.12,1.48
0.83,1.29,3.07,1.5
0.84,1.3,3.14,1.55
0.85,1.3,3.07,1.46
0.86,1.3,3.11,1.57
0.87,1.32,3.13,1.48
0.88,1.3,3.07,1.51
0.89,1.31,3.14,1.55
0.9,1.32,3.07,1.46
0.91,1.32,3.12,1.57
0.92,1.34,3.13,1.49
0.93,1.33,3.07,1.51
0.94,1.34,3.14,1.55
0.95,1.35,3.07,1.46
0.96,1.35,3.13,1.59
0.97,1.37,3.13,1.49
0.98,1.37,3.08,1.52
0.99,1.4,3.14,1.55
1.0,2.01,3.1,1.48
1.01,1.78,3.16,1.6
1.02,1.66,3.17,1.5
1.03,1.56,3.11,1.52
1.04,1.5,3.18,1.56
1.05,1.46,3.1,1.47
1.06,1.41,3.16,1.58
1.07,1.4,3.17,1.48
1.08,1.36,3.1,1.51
1.09,1.35,3.17,1.55
