Time (Sec),Analog Input 0,Analog Input 1,Analog Input 6,Analog Input 7
0.0,3.36,2.21,2.58,1.96
0.001,3.37,2.21,2.58,1.97
0.002,3.36,2.2,2.58,1.97
0.003,3.37,2.2,2.58,1.97
0.004,3.38,2.2,2.59,1.97
0.005,3.38,2.2,2.59,1.98
0.006,3.39,2.2,2.6,1.99
0.007,3.4,2.2,2.61,1.99
0.008,3.41,2.21,2.61,1.99
0.009,3.42,2.21,2.62,2.0
0.01,3.43,2.21,2.63,2.01
0.011,3.44,2.22,2.64,2.02
0.012,3.45,2.22,2.64,2.02
0.013,3.44,2.21,2.64,2.02
0.014,3.46,2.22,2.65,2.03
0.015,4.91,4.32,2.64,2.0
0.016,4.9,4.32,2.63,1.99
0.017,4.9,4.32,2.63,1.99
0.018,4.91,4.32,2.62,1.98
0.019,4.91,4.33,2.63,1.99
0.02,4.92,4.33,2.63,1.98
0.021,4.9,4.33,2.61,1.98
0.022,4.91,4.32,2.62,1.98
0.023,4.91,4.32,2.62,1.98
0.024,4.91,4.32,2.62,1.98
0.025,4.9,4.33,2.65,1.99
0.026,4.92,4.34,2.64,2.0
0.027,4.92,4.33,2.62,2.0
0.028,4.91,4.33,2.64,2.0
0.029,4.91,4.32,2.64,2.01
0.03,4.91,4.34,2.71,2.06
0.031,4.92,4.34,2.7,2.05
0.032,4.91,4.33,2.69,2.04
0.033,4.9,4.33,2.68,2.02
0.034,4.9,4.33,2.68,2.02
0.035,4.91,4.34,2.67,2.01
0.036,4.91,4.33,2.65,2.01
0.037,4.91,4.33,2.65,2.0
0.038,4.92,4.34,2.65,1.99
0.039,4.91,4.34,2.64,1.99
0.04,4.91,4.33,2.62,1.98
0.041,4.9,4.33,2.62,1.98
0.042,4.91,4.33,2.63,1.98
0.043,4.91,4.34,2.62,1.98
0.044,4.92,4.34,2.62,1.98
0.045,3.65,2.71,2.66,2.04
0.046,3.63,2.69,2.67,2.04
0.047,3.62,2.66,2.67,2.04
0.048,3.6,2.64,2.68,2.04
0.049,3.59,2.62,2.68,2.04
0.05,3.57,2.6,2.67,2.04
0.051,3.55,2.57,2.67,2.04
0.052,3.54,2.55,2.66,2.03
0.053,3.52,2.53,2.66,2.03
0.054,3.49,2.51,2.65,2.01
0.055,3.47,2.48,2.64,2.01
0.056,3.45,2.46,2.63,2.0
0.057,3.43,2.43,2.62,2.0
0.058,3.41,2.41,2.61,1.99
0.059,3.38,2.39,2.6,1.99
0.06,3.22,2.02,2.61,1.99
0.061,3.23,2.02,2.62,2.0
0.062,3.24,2.03,2.63,2.0
0.063,3.25,2.03,2.64,2.01
0.064,3.26,2.03,2.64,2.01
0.065,3.27,2.04,2.65,2.02
0.066,3.28,2.04,2.65,2.03
0.067,3.29,2.04,2.66,2.04
0.068,3.3,2.05,2.67,2.04
0.069,3.3,2.05,2.67,2.04
0.07,3.3,2.04,2.67,2.04
0.071,3.3,2.04,2.67,2.04
0.072,3.29,2.03,2.66,2.03
0.073,3.29,2.03,2.66,2.03
0.074,3.28,2.02,2.66,2.03
0.075,4.92,4.36,2.62,1.97
0.076,4.92,4.37,2.62,1.98
0.077,4.92,4.37,2.63,1.98
0.078,4.92,4.37,2.63,1.98
0.079,4.92,4.37,2.64,1.99
0.08,4.92,4.37,2.64,2.0
0.081,4.92,4.37,2.64,2.0
0.082,4.92,4.37,2.66,2.01
0.083,4.92,4.37,2.67,2.02
0.084,4.92,4.37,2.68,2.02
0.085,4.92,4.37,2.68,2.03
0.086,4.92,4.37,2.69,2.04
0.087,4.92,4.37,2.7,2.04
0.088,4.92,4.37,2.7,2.05
0.089,4.92,4.38,2.71,2.05
0.09,4.93,4.39,2.65,1.99
0.091,4.92,4.39,2.64,1.98
0.092,4.92,4.39,2.63,1.98
0.093,4.92,4.39,2.63,1.98
0.094,4.92,4.39,2.63,1.97
0.095,4.93,4.4,2.63,1.98
0.096,4.92,4.4,2.62,1.97
0.097,4.92,4.39,2.62,1.97
0.098,4.92,4.39,2.63,1.98
0.099,4.92,4.39,2.63,1.98
0.1,4.92,4.39,2.64,1.99
0.101,4.93,4.4,2.65,1.99
