Time (Sec),Analog Input 0,Analog Input 1
0.0,4.87,4.23
0.001,4.87,4.23
0.001,4.87,4.22
0.002,4.87,4.23
0.002,4.87,4.22
0.003,4.86,4.22
0.003,4.87,4.23
0.004,4.88,4.23
0.004,4.87,4.23
0.005,4.87,4.22
0.005,4.87,4.23
0.005,4.87,4.23
0.006,4.87,4.23
0.007,4.86,4.22
0.007,4.87,4.23
0.007,4.88,4.23
0.008,4.87,4.22
0.009,4.86,4.21
0.009,4.85,4.22
0.009,4.86,4.22
0.01,4.86,4.22
0.011,4.87,4.23
0.011,4.87,4.23
0.011,4.87,4.23
0.012,4.87,4.23
0.013,4.87,4.23
0.013,4.87,4.23
0.013,4.86,4.22
0.014,4.86,4.22
0.015,4.86,4.22
0.015,4.11,3.1
0.015,4.09,3.08
0.016,4.09,3.08
0.017,4.09,3.07
0.017,4.07,3.04
0.018,4.06,3.03
0.018,4.05,3.02
0.018,4.03,2.99
0.019,4.01,2.97
0.019,3.99,2.95
0.02,3.98,2.94
0.021,3.97,2.92
0.021,3.95,2.9
0.022,3.94,2.89
0.022,3.93,2.88
0.022,3.93,2.87
0.023,3.92,2.87
0.024,3.92,2.86
0.024,3.92,2.85
0.025,3.93,2.86
0.025,3.94,2.87
0.026,3.95,2.88
0.026,3.97,2.88
0.026,3.97,2.88
0.027,3.98,2.89
0.028,3.99,2.89
0.028,4.0,2.9
0.029,4.01,2.91
0.029,4.03,2.92
0.03,4.03,2.92
0.03,4.63,3.66
0.03,4.74,3.83
0.031,4.79,3.93
0.032,4.81,3.99
0.032,4.83,4.04
0.033,4.84,4.07
0.033,4.84,4.09
0.034,4.85,4.12
0.034,4.86,4.14
0.035,4.86,4.14
0.035,4.86,4.15
0.036,4.85,4.16
0.036,4.86,4.16
0.036,4.86,4.17
0.037,4.87,4.19
0.037,4.87,4.18
0.038,4.86,4.18
0.038,4.85,4.18
0.039,4.86,4.19
0.04,4.85,4.18
0.04,4.86,4.2
0.041,4.88,4.21
0.041,4.88,4.2
0.042,4.86,4.19
0.042,4.85,4.19
0.043,4.86,4.2
0.043,4.87,4.22
0.044,4.87,4.21
0.044,4.87,4.2
0.044,4.86,4.21
0.045,4.86,4.21
0.045,4.86,4.22
0.046,4.87,4.23
0.046,4.87,4.22
0.047,4.87,4.22
0.048,4.86,4.22
0.048,4.86,4.23
0.049,4.88,4.23
0.049,4.87,4.22
0.05,4.86,4.22
0.05,4.87,4.23
0.051,4.88,4.23
0.051,4.87,4.23
0.052,4.87,4.22
0.052,4.87,4.23
0.052,4.87,4.23
0.053,4.87,4.23
0.053,4.87,4.23
0.054,4.87,4.22
0.054,4.87,4.22
0.055,4.87,4.22
0.056,4.86,4.21
0.056,4.85,4.21
0.057,4.87,4.23
0.057,4.88,4.23
0.058,4.87,4.22
0.058,4.87,4.22
0.059,4.87,4.23
0.059,4.88,4.22
0.06,4.86,4.22
0.06,4.87,4.23
0.06,4.87,4.22
0.061,4.86,4.22
0.061,4.86,4.21
0.062,4.87,4.22
0.062,4.87,4.22
0.063,4.84,4.08
0.064,4.75,3.97
0.064,4.68,3.88
0.065,4.62,3.81
0.065,4.58,3.74
0.066,4.52,3.68
0.066,4.48,3.63
0.067,4.45,3.59
0.067,4.42,3.55
0.068,4.39,3.5
0.068,4.36,3.47
0.069,4.33,3.43
0.069,4.31,3.41
0.07,4.3,3.38
0.07,4.27,3.35
0.071,4.25,3.32
0.071,4.21,3.28
0.072,4.2,3.27
0.072,4.2,3.26
0.072,4.19,3.23
0.073,4.15,3.19
0.073,4.12,3.16
0.074,4.1,3.13
0.074,4.08,3.11
0.075,4.01,2.91
0.075,4.0,2.9
0.076,4.0,2.89
0.076,3.98,2.87
0.077,3.96,2.85
0.077,3.95,2.84
0.078,3.94,2.83
0.079,3.94,2.82
0.079,3.93,2.81
0.08,3.92,2.81
0.08,3.92,2.8
0.081,3.93,2.8
0.081,3.93,2.8
0.082,3.93,2.8
0.082,3.94,2.81
0.083,3.95,2.82
0.083,3.96,2.82
0.084,3.97,2.83
0.084,3.98,2.84
0.085,3.99,2.85
0.085,4.0,2.86
0.086,4.01,2.86
0.086,4.02,2.88
0.087,4.05,2.96
0.087,4.26,3.21
0.088,4.49,3.47
0.088,4.64,3.69
0.088,4.75,3.86
0.089,4.81,3.95
0.089,4.81,3.99
0.09,4.86,4.2
0.09,4.85,4.2
0.091,4.87,4.23
0.091,4.88,4.22
0.092,4.87,4.21
0.092,4.86,4.21
0.093,4.87,4.21
