Time (Sec),Analog Input 0
0.0,3.51
0.001,3.45
0.002,3.4
0.003,3.41
0.004,3.44
0.005,3.49
0.006,3.54
0.007,3.55
0.008,3.54
0.009,3.47
0.01,3.43
0.011,3.42
0.012,3.43
0.013,3.47
0.014,3.53
0.015,3.54
0.016,3.53
0.017,3.49
0.018,3.43
0.019,3.4
0.02,3.42
0.021,3.47
0.022,3.52
0.023,3.56
0.024,3.56
0.025,3.52
0.026,3.47
0.027,4.4
0.028,4.79
0.029,4.83
0.03,4.85
0.031,4.87
0.032,4.86
0.033,4.86
0.034,4.86
0.035,4.86
0.036,4.86
0.037,4.86
0.038,4.87
0.039,4.85
0.04,4.85
0.041,4.85
0.042,4.85
0.043,4.86
0.044,4.87
0.045,4.86
0.046,4.87
0.047,4.87
0.048,4.86
0.049,4.87
0.05,4.86
0.051,4.54
0.052,4.26
0.053,4.08
0.054,3.94
0.055,3.85
0.056,3.8
0.057,3.75
0.058,3.68
0.059,3.6
0.06,3.52
0.061,3.48
0.062,3.47
0.063,3.5
0.064,3.54
0.065,3.56
0.066,3.54
0.067,3.49
0.068,3.43
0.069,3.41
0.07,3.42
0.071,3.46
0.072,3.5
0.073,3.55
0.074,3.55
0.075,3.52
0.076,3.46
0.077,3.42
0.078,3.41
0.079,3.44
0.08,3.48
0.081,3.53
0.082,3.54
0.083,3.52
0.084,3.46
0.085,3.41
0.086,3.41
0.087,3.44
0.088,3.48
0.089,3.53
0.09,3.56
0.091,3.55
0.092,3.51
0.093,3.45
0.094,4.61
0.095,4.81
0.096,4.84
0.097,4.85
0.098,4.85
0.099,4.85
0.1,4.85
0.101,4.85
0.102,4.86
0.103,4.85
0.104,4.85
0.105,4.86
0.106,4.88
0.107,4.86
0.108,4.86
0.109,4.86
0.11,4.86
0.111,4.86
0.112,4.86
0.113,4.86
0.114,4.86
0.115,4.86
0.116,4.86
0.117,4.86
0.118,4.51
0.119,4.27
0.12,4.07
0.121,3.94
0.122,3.86
0.123,3.81
0.124,3.75
0.125,3.67
0.126,3.58
0.127,3.51
0.128,3.48
0.129,3.49
0.13,3.52
0.131,3.55
0.132,3.55
0.133,3.53
0.134,3.47
0.135,3.42
0.136,3.4
0.137,3.43
0.138,3.47
0.139,3.53
0.14,3.55
0.141,3.54
0.142,3.5
0.143,3.44
0.144,3.41
0.145,3.42
0.146,3.45
0.147,3.49
0.148,3.53
0.149,3.54
0.15,3.5
0.151,3.44
0.152,3.42
0.153,3.41
0.154,3.45
0.155,3.5
0.156,3.55
0.157,3.56
0.158,3.54
0.159,3.48
0.16,3.92
0.161,4.76
0.162,4.82
0.163,4.84
0.164,4.85
0.165,4.85
0.166,4.85
0.167,4.87
0.168,4.86
0.169,4.86
0.17,4.86
0.171,4.87
0.172,4.87
0.173,4.87
0.174,4.87
0.175,4.87
0.176,4.86
0.177,4.87
0.178,4.86
0.179,4.87
0.18,4.86
0.181,4.85
0.182,4.86
0.183,4.6
0.184,4.34
0.185,4.1
0.186,3.94
0.187,3.83
0.188,3.76
0.189,3.74
0.19,3.71
0.191,3.66
0.192,3.59
0.193,3.52
0.194,3.47
0.195,3.46
0.196,3.48
0.197,3.52
0.198,3.55
0.199,3.54
0.2,3.5
0.201,3.45
0.202,3.41
0.203,3.41
0.204,3.44
0.205,3.49
0.206,3.54
0.207,3.56
0.208,3.54
0.209,3.48
0.21,3.43
0.211,3.41
0.212,3.42
0.213,3.47
0.214,3.52
0.215,3.54
0.216,3.53
0.217,3.48
0.218,3.43
0.219,3.4
0.22,3.42
0.221,3.47
0.222,3.52
0.223,3.56
0.224,3.55
0.225,3.53
0.226,3.47
0.227,4.35
0.228,4.78
0.229,4.83
0.23,4.85
0.231,4.86
0.232,4.86
0.233,4.86
0.234,4.86
0.235,4.85
0.236,4.86
0.237,4.87
0.238,4.86
0.239,4.87
0.24,4.87
0.241,4.87
0.242,4.85
0.243,4.87
0.244,4.86
0.245,4.86
0.246,4.86
0.247,4.87
0.248,4.86
0.249,4.86
0.25,4.86
0.251,4.71
0.252,4.42
0.253,4.19
0.254,4.02
0.255,3.92
0.256,3.85
0.257,3.78
0.258,3.71
0.259,3.62
0.26,3.55
0.261,3.5
0.262,3.49
0.263,3.5
0.264,3.54
0.265,3.56
0.266,3.55
0.267,3.49
0.268,3.43
0.269,3.41
0.27,3.42
0.271,3.46
0.272,3.49
0.273,3.54
0.274,3.56
0.275,3.52
0.276,3.46
0.277,3.42
0.278,3.41
0.279,3.44
0.28,3.48
0.281,3.53
0.282,3.54
0.283,3.52
0.284,3.45
0.285,3.42
0.286,3.41
0.287,3.43
0.288,3.48
0.289,3.53
0.29,3.56
0.291,3.56
0.292,3.51
0.293,3.45
0.294,4.6
0.295,4.81
0.296,4.82
0.297,4.85
0.298,4.86
0.299,4.86
0.3,4.86
0.301,4.86
0.302,4.86
0.303,4.86
0.304,4.86
0.305,4.86
0.306,4.86
0.307,4.87
0.308,4.84
0.309,4.86
0.31,4.87
0.311,4.87
0.312,4.86
0.313,4.86
0.314,4.86
0.315,4.86
0.316,4.86
0.317,4.86
0.318,4.71
0.319,4.42
0.32,4.2
0.321,4.04
0.322,3.93
0.323,3.85
0.324,3.78
0.325,3.7
0.326,3.6
0.327,3.53
0.328,3.5
0.329,3.5
0.33,3.52
0.331,3.56
0.332,3.56
0.333,3.53
0.334,3.46
0.335,3.43
0.336,3.41
0.337,3.43
0.338,3.48
0.339,3.53
0.34,3.55
0.341,3.55
0.342,3.5
0.343,3.44
0.344,3.41
0.345,3.42
0.346,3.45
0.347,3.5
0.348,3.54
0.349,3.54
0.35,3.5
0.351,3.45
0.352,3.41
0.353,3.42
0.354,3.45
0.355,3.5
0.356,3.55
0.357,3.56
0.358,3.53
0.359,3.48
0.36,3.78
0.361,4.76
0.362,4.83
0.363,4.84
0.364,4.85
0.365,4.85
0.366,4.86
0.367,4.86
0.368,4.86
0.369,4.86
0.37,4.86
0.371,4.86
0.372,4.86
0.373,4.86
0.374,4.87
0.375,4.87
0.376,4.86
0.377,4.86
0.378,4.86
0.379,4.86
0.38,4.86
0.381,4.86
0.382,4.86
0.383,4.86
0.384,4.62
0.385,4.34
0.386,4.13
0.387,3.97
0.388,3.87
0.389,3.8
0.39,3.76
0.391,3.7
0.392,3.63
0.393,3.55
0.394,3.48
0.395,3.47
0.396,3.49
0.397,3.52
0.398,3.55
0.399,3.55
0.4,3.51
0.401,3.46
0.402,3.41
0.403,3.41
0.404,3.44
0.405,3.48
0.406,3.54
0.407,3.56
0.408,3.53
0.409,3.48
0.41,3.43
0.411,3.41
0.412,3.42
0.413,3.46
0.414,3.51
0.415,3.54
0.416,3.53
0.417,3.49
0.418,3.44
0.419,3.41
0.42,3.42
0.421,3.46
0.422,3.53
0.423,3.55
0.424,3.56
0.425,3.53
0.426,3.47
0.427,4.42
0.428,4.79
0.429,4.83
0.43,4.84
0.431,4.85
0.432,4.85
0.433,4.86
0.434,4.86
0.435,4.86
0.436,4.86
0.437,4.87
0.438,4.86
0.439,4.86
0.44,4.86
0.441,4.86
0.442,4.86
0.443,4.86
0.444,4.86
0.445,4.86
0.446,4.86
0.447,4.86
0.448,4.86
0.449,4.86
0.45,4.74
0.451,4.45
0.452,4.2
0.453,4.01
0.454,3.89
0.455,3.82
0.456,3.77
0.457,3.73
0.458,3.67
0.459,3.59
0.46,3.52
0.461,3.47
0.462,3.46
0.463,3.49
0.464,3.53
0.465,3.55
0.466,3.54
0.467,3.49
0.468,3.45
0.469,3.41
0.47,3.41
0.471,3.46
0.472,3.51
0.473,3.55
0.474,3.55
0.475,3.52
0.476,3.46
0.477,3.42
0.478,3.41
0.479,3.44
0.48,3.48
0.481,3.52
0.482,3.54
0.483,3.52
0.484,3.47
0.485,3.42
0.486,3.41
0.487,3.43
0.488,3.48
0.489,3.54
0.49,3.56
0.491,3.55
0.492,3.51
0.493,3.45
0.494,4.55
0.495,4.8
0.496,4.83
0.497,4.85
0.498,4.85
0.499,4.87
0.5,4.86
0.501,4.86
0.502,4.86
0.503,4.86
0.504,4.86
0.505,4.86
0.506,4.86
0.507,4.86
0.508,4.86
0.509,4.86
0.51,4.86
0.511,4.85
0.512,4.86
0.513,4.86
0.514,4.86
0.515,4.87
0.516,4.87
0.517,4.87
0.518,4.55
0.519,4.29
0.52,4.09
0.521,3.95
0.522,3.87
0.523,3.81
0.524,3.75
0.525,3.67
0.526,3.58
0.527,3.51
0.528,3.48
0.529,3.49
0.53,3.52
0.531,3.55
0.532,3.56
0.533,3.53
0.534,3.47
0.535,3.42
0.536,3.4
0.537,3.42
0.538,3.47
0.539,3.52
0.54,3.55
0.541,3.54
0.542,3.5
0.543,3.44
0.544,3.41
0.545,3.41
0.546,3.45
0.547,3.49
0.548,3.53
0.549,3.54
0.55,3.5
0.551,3.45
0.552,3.41
0.553,3.41
0.554,3.44
0.555,3.49
0.556,3.54
0.557,3.56
0.558,3.54
0.559,3.49
0.56,3.69
0.561,4.74
0.562,4.84
0.563,4.85
0.564,4.86
0.565,4.86
0.566,4.86
0.567,4.86
0.568,4.87
0.569,4.85
0.57,4.85
0.571,4.85
0.572,4.86
0.573,4.86
0.574,4.86
0.575,4.87
0.576,4.87
0.577,4.87
0.578,4.86
0.579,4.86
0.58,4.86
0.581,4.86
0.582,4.86
0.583,4.86
0.584,4.71
0.585,4.41
0.586,4.18
0.587,4.01
0.588,3.9
0.589,3.82
